player,game_date,timestamp,x_pos,y_pos,speed,acceleration
Reece Walsh,2025-03-01 00:00:00,0,7.244689,30.058273,0.7924961,-4.5802727
Reece Walsh,2025-03-01 00:00:00,1,39.249355,44.079876,1.9148961,-0.2891715
Reece Walsh,2025-03-01 00:00:00,2,47.993885,4.1783476,3.862364,-1.0204694
Reece Walsh,2025-03-01 00:00:00,3,60.002056,55.333187,4.8485875,-1.8985277
Reece Walsh,2025-03-01 00:00:00,4,29.166258,63.95427,3.549951,-0.48663273
Reece Walsh,2025-03-01 00:00:00,5,69.49819,44.116047,3.2071216,-1.1580582
Reece Walsh,2025-03-01 00:00:00,6,86.01224,64.910484,9.63916,-0.676661
Reece Walsh,2025-03-01 00:00:00,7,77.9851,10.297398,6.4157968,4.7926188
Reece Walsh,2025-03-01 00:00:00,8,3.9618826,32.464302,0.23432955,-4.1136703
Reece Walsh,2025-03-01 00:00:00,9,48.050694,40.92286,4.3017592,4.2223086
Reece Walsh,2025-03-01 00:00:00,0,10.493018,39.55809,8.750087,-0.19763286
Reece Walsh,2025-03-01 00:00:00,1,24.204502,27.2994,3.014562,1.2374225
Reece Walsh,2025-03-01 00:00:00,2,98.66626,22.98974,0.94556344,3.3018296
Reece Walsh,2025-03-01 00:00:00,3,14.249555,8.624034,7.5838475,-1.3953696
Reece Walsh,2025-03-01 00:00:00,4,49.888817,26.638487,6.060138,-0.69578093
Reece Walsh,2025-03-01 00:00:00,5,61.815575,11.060935,5.703125,-0.9048152
Reece Walsh,2025-03-01 00:00:00,6,70.2465,49.936867,0.5357656,-1.2526897
Reece Walsh,2025-03-01 00:00:00,7,55.964867,14.200503,1.4049901,4.2552934
Reece Walsh,2025-03-01 00:00:00,8,0.97708476,3.9824407,6.225494,3.289299
Reece Walsh,2025-03-01 00:00:00,9,32.64613,37.560898,2.0782385,-3.91
Reece Walsh,2025-03-01 00:00:00,0,51.771164,40.47562,5.040701,-3.9187665
Reece Walsh,2025-03-01 00:00:00,1,8.78665,59.29009,5.448817,-0.72130483
Reece Walsh,2025-03-01 00:00:00,2,35.062695,39.23475,2.8350718,-4.0134263
Reece Walsh,2025-03-01 00:00:00,3,3.3203108,23.492699,9.484252,1.190931
Reece Walsh,2025-03-01 00:00:00,4,7.8578496,54.60481,8.424641,-3.563084
Reece Walsh,2025-03-01 00:00:00,5,39.69233,36.738964,7.223735,0.22373264
Reece Walsh,2025-03-01 00:00:00,6,13.271575,5.3910594,0.77993864,-4.9278007
Reece Walsh,2025-03-01 00:00:00,7,56.754086,38.477837,1.0613002,-1.8340365
Reece Walsh,2025-03-01 00:00:00,8,68.946495,61.745262,4.9278135,1.7719072
Reece Walsh,2025-03-01 00:00:00,9,80.05867,26.949259,1.6071335,-0.1596106
Reece Walsh,2025-03-01 00:00:00,0,20.015024,20.150154,9.782655,4.782695
Reece Walsh,2025-03-01 00:00:00,1,16.748259,9.755923,1.5852023,3.7410378
Reece Walsh,2025-03-01 00:00:00,2,10.456784,10.298295,4.874678,-1.4092922
Reece Walsh,2025-03-01 00:00:00,3,63.643024,29.428461,3.6412106,-4.5451345
Reece Walsh,2025-03-01 00:00:00,4,70.647575,40.50623,6.393864,3.456263
Reece Walsh,2025-03-01 00:00:00,5,3.1586144,5.481848,1.2903641,4.1123433
Reece Walsh,2025-03-01 00:00:00,6,93.62122,63.890663,4.3031645,3.206274
Reece Walsh,2025-03-01 00:00:00,7,5.1971283,51.349087,2.7470503,-3.7205007
Reece Walsh,2025-03-01 00:00:00,8,54.129635,39.890427,8.877515,4.9791512
Reece Walsh,2025-03-01 00:00:00,9,70.90605,56.333828,0.40585712,-2.4141579
Reece Walsh,2025-03-01 00:00:00,0,87.09691,5.4526997,9.137275,2.2420492
Reece Walsh,2025-03-01 00:00:00,1,71.40869,32.425045,8.329942,4.080349
Reece Walsh,2025-03-01 00:00:00,2,80.172806,42.846333,2.975707,-2.6431289
Reece Walsh,2025-03-01 00:00:00,3,33.94502,56.348396,7.8929067,4.0825853
Reece Walsh,2025-03-01 00:00:00,4,81.48251,53.27593,0.3121356,-1.9051841
Reece Walsh,2025-03-01 00:00:00,5,8.011485,18.84071,9.668655,4.764132
Reece Walsh,2025-03-01 00:00:00,6,89.48167,63.97985,5.2659492,-2.1873999
Reece Walsh,2025-03-01 00:00:00,7,54.75924,8.455517,3.0328102,4.534358
Reece Walsh,2025-03-01 00:00:00,8,81.729774,59.509087,3.625832,-4.4645534
Reece Walsh,2025-03-01 00:00:00,9,45.231827,66.02393,0.66405356,2.09272
Reece Walsh,2025-03-01 00:00:00,0,64.35777,12.046439,9.893496,0.32111135
Reece Walsh,2025-03-01 00:00:00,1,52.640266,49.10049,0.39291945,-0.22122923
Reece Walsh,2025-03-01 00:00:00,2,73.15895,2.7394152,6.5490713,-2.7650568
Reece Walsh,2025-03-01 00:00:00,3,8.162998,27.568752,4.427359,2.0559578
Reece Walsh,2025-03-01 00:00:00,4,6.035208,35.107265,9.489162,-3.091905
Reece Walsh,2025-03-01 00:00:00,5,24.710323,39.483875,2.4599974,0.52841794
Reece Walsh,2025-03-01 00:00:00,6,15.954468,63.643734,5.320868,-2.4675465
Reece Walsh,2025-03-01 00:00:00,7,87.17836,45.713047,4.823562,4.556214
Reece Walsh,2025-03-01 00:00:00,8,21.921398,32.726902,7.0286646,-4.713688
Reece Walsh,2025-03-01 00:00:00,9,97.586525,55.057903,0.68010235,-3.0027173
Reece Walsh,2025-03-01 00:00:00,0,33.68958,64.63623,1.9378912,-2.576894
Reece Walsh,2025-03-01 00:00:00,1,18.211792,1.500498,2.1456482,-0.8593217
Reece Walsh,2025-03-01 00:00:00,2,78.96985,66.81145,7.3815074,-2.6726975
Reece Walsh,2025-03-01 00:00:00,3,65.87078,5.8569856,1.891387,-0.08650909
Reece Walsh,2025-03-01 00:00:00,4,49.819572,55.3783,5.7349176,3.7246552
Reece Walsh,2025-03-01 00:00:00,5,55.536354,19.062763,2.1524382,2.1206343
Reece Walsh,2025-03-01 00:00:00,6,71.92018,8.988216,8.616249,0.7996198
Reece Walsh,2025-03-01 00:00:00,7,22.845474,29.910183,9.421855,-4.109968
Reece Walsh,2025-03-01 00:00:00,8,99.63339,43.789047,5.18493,1.9399211
Reece Walsh,2025-03-01 00:00:00,9,97.47932,25.904726,3.523089,-3.3358572
Reece Walsh,2025-03-01 00:00:00,0,65.03257,3.7104478,2.3405778,2.863674
Reece Walsh,2025-03-01 00:00:00,1,19.954245,40.76336,0.49781,-2.4994323
Reece Walsh,2025-03-01 00:00:00,2,68.02283,61.363422,2.6850007,-0.8295127
Reece Walsh,2025-03-01 00:00:00,3,7.219841,26.058645,6.542358,-1.495298
Reece Walsh,2025-03-01 00:00:00,4,3.0652502,14.7106285,5.3361692,3.588139
Reece Walsh,2025-03-01 00:00:00,5,25.76829,30.095259,9.4404125,-3.7345555
Reece Walsh,2025-03-01 00:00:00,6,46.262295,3.2886643,3.9627726,0.65644884
Reece Walsh,2025-03-01 00:00:00,7,86.82725,55.793156,6.9386334,-3.5793839
Reece Walsh,2025-03-01 00:00:00,8,72.7169,56.191174,4.8932276,2.0479584
Reece Walsh,2025-03-01 00:00:00,9,74.27065,39.98403,5.125762,4.0507812
Reece Walsh,2025-03-01 00:00:00,0,42.54933,24.010996,2.6777432,-0.65392345
Reece Walsh,2025-03-01 00:00:00,1,34.5935,54.38527,4.5495076,-0.1190774
Reece Walsh,2025-03-01 00:00:00,2,37.103878,37.71872,4.70785,4.2742286
Reece Walsh,2025-03-01 00:00:00,3,98.76495,56.1634,7.0664253,0.20991388
Reece Walsh,2025-03-01 00:00:00,4,4.010919,42.939198,9.4064,-0.12401562
Reece Walsh,2025-03-01 00:00:00,5,86.70315,53.339573,3.293213,0.78329104
Reece Walsh,2025-03-01 00:00:00,6,57.867542,40.702282,0.4220047,1.8922974
Reece Walsh,2025-03-01 00:00:00,7,43.86154,28.161592,4.962951,-3.9311662
Reece Walsh,2025-03-01 00:00:00,8,72.525764,65.14032,5.4446135,3.2111053
